gender,age,education_level,job_fulltime,job_parttime,job_training,job_annualleave,job_laidoff,job_unemplyed,job_retired,job_student,job_other,work_position,employment_duration,weekly_workhours,effect_of_codetermination_process,work_community_help_in_problems,remote_working,excellent_work_performance,feeling_stressed,financial_stress,good_gender_equality_at_work,good_worker_equality_at_work,overall_life_satisfaction,health_status,sleeping_problems,physical_exercise,employment_prospects,ukraine_worries,surrender,feelings,effort_reward_imbalance_reward,effort_reward_imbalance_effort,ERI_RATIO,WHO5_TOTAL,SISU_LP,SISU_AM,SISU_EP,SISU_HR,SISU_HS,SISU_HO
1,34,2,0,0,1,0,0,0,0,1,0,7,,,,,,,3,5,,,3,3,2,2,4,4,1,1,,,,40,8,4,6,17,6,7
1,25,3,0,1,0,0,0,0,0,1,1,1,3,1,1,1,4,2,3,3,5,4,4,4,3,2,2,1,1,1,38,9,0.52,40,11,7,12,12,6,6
1,26,3,0,1,0,0,0,0,0,1,0,1,3,3,1,2,1,4,3,3,4,4,4,4,2,3,3,2,1,1,41,16,0.86,68,11,16,11,8,11,9
2,45,2,0,1,0,0,0,0,0,1,0,1,4,3,1,1,1,2,2,3,1,1,4,4,2,2,4,3,,,41,20,1.07,84,17,12,16,5,7,5
1,37,3,0,1,0,0,0,0,0,1,0,5,2,2,1,1,1,4,3,3,2,3,3,3,3,2,4,3,1,0,,11,,56,12,13,11,10,10,7
2,37,4,1,0,0,0,0,0,0,0,0,4,3,5,1,1,2,4,3,2,4,4,3,2,2,2,5,2,,,41,21,1.13,56,14,13,15,7,10,10
1,23,3,1,0,0,0,0,0,0,1,0,1,2,4,1,1,2,4,5,4,5,4,4,4,3,2,5,2,,0,52,7,0.3,60,10,13,20,7,11,8
1,25,3,0,1,0,0,0,0,0,1,0,1,3,1,1,1,1,6,3,1,2,3,4,4,3,3,4,3,1,,43,13,0.67,56,11,10,14,14,11,6
1,20,2,0,1,0,0,0,0,0,1,0,1,1,3,1,1,4,4,5,5,5,,2,4,3,3,5,4,1,0,27,12,0.98,40,4,8,3,10,5,3
1,29,4,1,0,0,0,0,0,0,0,0,1,2,4,1,1,1,4,1,2,4,4,4,4,1,1,4,2,1,,44,8,0.4,76,11,12,11,10,10,10
2,32,2,0,1,0,0,0,0,0,1,0,1,1,3,1,1,4,2,4,4,3,3,2,3,4,3,3,3,0,0,25,22,1.94,24,5,15,6,9,8,8
1,31,4,1,0,0,0,0,0,0,0,0,5,3,3,1,1,1,4,2,1,6,6,5,5,2,2,5,4,,,46,7,0.33,88,16,15,14,4,3,5
2,39,4,1,0,0,0,0,0,0,1,0,3,3,5,2,3,1,4,5,3,2,2,3,4,3,2,4,3,,0,38,21,1.22,52,12,14,9,10,15,7
1,25,3,0,0,1,0,0,0,0,1,0,1,1,4,1,1,1,3,4,4,2,2,4,4,3,3,4,4,,,36,6,0.37,40,19,16,15,5,11,5
1,43,3,0,0,0,0,0,0,0,1,0,7,,,,,,,4,3,,,4,4,1,3,4,4,,0,,,,60,9,11,14,8,9,6
1,28,3,1,0,0,0,0,0,0,1,0,1,3,4,2,2,1,4,2,3,2,1,4,5,2,3,4,2,,1,24,22,2.02,80,12,9,15,11,13,5
1,52,4,1,0,0,0,0,0,0,0,0,4,2,5,1,1,1,5,3,2,2,1,4,4,4,2,2,1,,0,41,24,1.29,64,20,14,15,4,18,7
2,29,4,0,0,0,0,0,0,0,1,0,7,,,1,1,1,3,4,3,4,4,2,4,2,4,2,2,,0,27,19,1.55,52,7,6,13,16,13,8
1,25,3,0,1,0,0,0,0,0,1,0,1,2,2,1,1,1,4,2,4,3,4,4,4,2,2,4,2,,,43,10,0.51,68,10,16,7,9,12,11
1,20,2,0,0,0,0,0,0,0,1,0,7,,,,,,,4,3,,,3,3,4,3,3,1,1,0,,,,52,13,12,15,16,17,16
1,64,4,1,0,0,0,0,0,0,0,0,4,5,5,1,1,1,5,3,1,5,5,4,5,3,2,5,2,,1,46,19,0.91,72,15,14,18,3,5,5
2,27,3,1,0,0,0,0,0,0,1,0,1,4,4,1,1,1,4,3,1,4,4,3,3,2,2,5,0,,,44,15,0.75,32,8,12,16,15,16,14
2,25,2,0,0,0,0,0,1,0,1,0,7,,,,,,,3,5,,,3,4,1,3,4,0,1,0,,,,32,7,12,8,10,9,7
1,28,4,1,0,0,0,0,0,0,0,0,6,3,4,1,1,1,3,3,5,3,3,4,4,4,2,3,2,1,0,34,14,0.91,48,11,16,10,12,15,9
1,24,3,1,0,0,0,0,0,0,1,0,1,2,4,1,1,1,4,3,2,3,3,5,4,3,3,5,1,1,1,40,10,0.55,84,15,15,19,5,6,7
1,42,3,1,0,0,0,0,0,0,1,0,1,5,4,1,1,1,2,4,2,4,4,3,4,2,1,3,2,1,0,42,12,0.63,40,14,8,5,11,6,6
1,44,4,0,0,0,0,0,0,0,0,1,6,,5,,,1,,3,3,,,3,4,3,2,3,3,0,1,34,22,1.42,64,11,10,10,13,12,7
1,56,4,0,0,0,0,0,0,0,0,1,4,4,4,1,1,1,5,4,5,4,4,4,4,3,2,4,4,1,1,45,21,1.03,76,15,16,20,10,15,9
